Variable,Description,Data Source,Response Level,N (%)
existential_loneliness_same_take,Please use the following scale to rate the extent to which you agree or disagree with each of the following statements IN GENERAL. - People often have the same  take ù or perspective on things that I do.,Canadian Social Connection Survey,2,79 (6.6)
existential_loneliness_same_take,Please use the following scale to rate the extent to which you agree or disagree with each of the following statements IN GENERAL. - People often have the same  take ù or perspective on things that I do.,Canadian Social Connection Survey,3,115 (9.7)
existential_loneliness_same_take,Please use the following scale to rate the extent to which you agree or disagree with each of the following statements IN GENERAL. - People often have the same  take ù or perspective on things that I do.,Canadian Social Connection Survey,4,156 (13.1)
existential_loneliness_same_take,Please use the following scale to rate the extent to which you agree or disagree with each of the following statements IN GENERAL. - People often have the same  take ù or perspective on things that I do.,Canadian Social Connection Survey,5,278 (23.4)
existential_loneliness_same_take,Please use the following scale to rate the extent to which you agree or disagree with each of the following statements IN GENERAL. - People often have the same  take ù or perspective on things that I do.,Canadian Social Connection Survey,6,217 (18.2)
existential_loneliness_same_take,Please use the following scale to rate the extent to which you agree or disagree with each of the following statements IN GENERAL. - People often have the same  take ù or perspective on things that I do.,Canadian Social Connection Survey,7,176 (14.8)
existential_loneliness_same_take,Please use the following scale to rate the extent to which you agree or disagree with each of the following statements IN GENERAL. - People often have the same  take ù or perspective on things that I do.,Canadian Social Connection Survey,8,76 (6.4)
self_esteem_high,Rate how true of you the following statements are: - I have high self-esteem.,Canadian Social Connection Survey,(1) Not very true of me,67 (5.6)
self_esteem_high,Rate how true of you the following statements are: - I have high self-esteem.,Canadian Social Connection Survey,(7) Very true of me,134 (11.3)
self_esteem_high,Rate how true of you the following statements are: - I have high self-esteem.,Canadian Social Connection Survey,2,76 (6.4)
self_esteem_high,Rate how true of you the following statements are: - I have high self-esteem.,Canadian Social Connection Survey,3,150 (12.6)
self_esteem_high,Rate how true of you the following statements are: - I have high self-esteem.,Canadian Social Connection Survey,4,301 (25.3)
self_esteem_high,Rate how true of you the following statements are: - I have high self-esteem.,Canadian Social Connection Survey,5,286 (24.0)
self_esteem_high,Rate how true of you the following statements are: - I have high self-esteem.,Canadian Social Connection Survey,6,177 (14.9)
self_esteem_body,Rate how true of you the following statements are: - I am satisfied with my body.,Canadian Social Connection Survey,(1) Not very true of me,86 (7.3)
self_esteem_body,Rate how true of you the following statements are: - I am satisfied with my body.,Canadian Social Connection Survey,(7) Very true of me,114 (9.6)
self_esteem_body,Rate how true of you the following statements are: - I am satisfied with my body.,Canadian Social Connection Survey,2,86 (7.3)
self_esteem_body,Rate how true of you the following statements are: - I am satisfied with my body.,Canadian Social Connection Survey,3,186 (15.7)
self_esteem_body,Rate how true of you the following statements are: - I am satisfied with my body.,Canadian Social Connection Survey,4,272 (22.9)
self_esteem_body,Rate how true of you the following statements are: - I am satisfied with my body.,Canadian Social Connection Survey,5,264 (22.3)
self_esteem_body,Rate how true of you the following statements are: - I am satisfied with my body.,Canadian Social Connection Survey,6,178 (15.0)
self_esteem_attractive,Rate how true of you the following statements are: - I worry that others don t find me attractive,Canadian Social Connection Survey,(1) Not very true of me,164 (13.8)
self_esteem_attractive,Rate how true of you the following statements are: - I worry that others don t find me attractive,Canadian Social Connection Survey,(7) Very true of me,77 (6.5)
self_esteem_attractive,Rate how true of you the following statements are: - I worry that others don t find me attractive,Canadian Social Connection Survey,2,114 (9.6)
self_esteem_attractive,Rate how true of you the following statements are: - I worry that others don t find me attractive,Canadian Social Connection Survey,3,183 (15.4)
self_esteem_attractive,Rate how true of you the following statements are: - I worry that others don t find me attractive,Canadian Social Connection Survey,4,288 (24.2)
self_esteem_attractive,Rate how true of you the following statements are: - I worry that others don t find me attractive,Canadian Social Connection Survey,5,243 (20.4)
self_esteem_attractive,Rate how true of you the following statements are: - I worry that others don t find me attractive,Canadian Social Connection Survey,6,122 (10.2)
self_esteem_liked,Rate how true of you the following statements are: - I believe people generally like me.,Canadian Social Connection Survey,(1) Not very true of me,28 (2.3)
self_esteem_liked,Rate how true of you the following statements are: - I believe people generally like me.,Canadian Social Connection Survey,(7) Very true of me,143 (12.0)
self_esteem_liked,Rate how true of you the following statements are: - I believe people generally like me.,Canadian Social Connection Survey,2,42 (3.5)
self_esteem_liked,Rate how true of you the following statements are: - I believe people generally like me.,Canadian Social Connection Survey,3,145 (12.2)
self_esteem_liked,Rate how true of you the following statements are: - I believe people generally like me.,Canadian Social Connection Survey,4,285 (23.9)
self_esteem_liked,Rate how true of you the following statements are: - I believe people generally like me.,Canadian Social Connection Survey,5,310 (26.0)
self_esteem_liked,Rate how true of you the following statements are: - I believe people generally like me.,Canadian Social Connection Survey,6,240 (20.1)
self_esteem_think_of_me,Rate how true of you the following statements are: - I worry what other people think of me.,Canadian Social Connection Survey,(1) Not very true of me,138 (11.6)
self_esteem_think_of_me,Rate how true of you the following statements are: - I worry what other people think of me.,Canadian Social Connection Survey,(7) Very true of me,74 (6.2)
self_esteem_think_of_me,Rate how true of you the following statements are: - I worry what other people think of me.,Canadian Social Connection Survey,2,131 (11.0)
self_esteem_think_of_me,Rate how true of you the following statements are: - I worry what other people think of me.,Canadian Social Connection Survey,3,160 (13.4)
self_esteem_think_of_me,Rate how true of you the following statements are: - I worry what other people think of me.,Canadian Social Connection Survey,4,262 (22.0)
self_esteem_think_of_me,Rate how true of you the following statements are: - I worry what other people think of me.,Canadian Social Connection Survey,5,255 (21.4)
self_esteem_think_of_me,Rate how true of you the following statements are: - I worry what other people think of me.,Canadian Social Connection Survey,6,172 (14.4)
self_esteem_friendly,Rate how true of you the following statements are: - I am a friendly person.,Canadian Social Connection Survey,(1) Not very true of me,18 (1.5)
self_esteem_friendly,Rate how true of you the following statements are: - I am a friendly person.,Canadian Social Connection Survey,(7) Very true of me,289 (24.1)
self_esteem_friendly,Rate how true of you the following statements are: - I am a friendly person.,Canadian Social Connection Survey,2,30 (2.5)
self_esteem_friendly,Rate how true of you the following statements are: - I am a friendly person.,Canadian Social Connection Survey,3,117 (9.8)
self_esteem_friendly,Rate how true of you the following statements are: - I am a friendly person.,Canadian Social Connection Survey,4,230 (19.2)
self_esteem_friendly,Rate how true of you the following statements are: - I am a friendly person.,Canadian Social Connection Survey,5,268 (22.4)
self_esteem_friendly,Rate how true of you the following statements are: - I am a friendly person.,Canadian Social Connection Survey,6,247 (20.6)
self_esteem_positive_outlook,Rate how true of you the following statements are: - I have a positive outlook on life.,Canadian Social Connection Survey,(1) Not very true of me,23 (1.9)
self_esteem_positive_outlook,Rate how true of you the following statements are: - I have a positive outlook on life.,Canadian Social Connection Survey,(7) Very true of me,223 (18.7)
self_esteem_positive_outlook,Rate how true of you the following statements are: - I have a positive outlook on life.,Canadian Social Connection Survey,2,68 (5.7)
self_esteem_positive_outlook,Rate how true of you the following statements are: - I have a positive outlook on life.,Canadian Social Connection Survey,3,151 (12.7)
self_esteem_positive_outlook,Rate how true of you the following statements are: - I have a positive outlook on life.,Canadian Social Connection Survey,4,236 (19.8)
self_esteem_positive_outlook,Rate how true of you the following statements are: - I have a positive outlook on life.,Canadian Social Connection Survey,5,288 (24.1)
self_esteem_positive_outlook,Rate how true of you the following statements are: - I have a positive outlook on life.,Canadian Social Connection Survey,6,204 (17.1)
self_esteem_energetic,Rate how true of you the following statements are: - I have an energetic personality.,Canadian Social Connection Survey,(1) Not very true of me,29 (2.4)
self_esteem_energetic,Rate how true of you the following statements are: - I have an energetic personality.,Canadian Social Connection Survey,(7) Very true of me,191 (16.0)
self_esteem_energetic,Rate how true of you the following statements are: - I have an energetic personality.,Canadian Social Connection Survey,2,63 (5.3)
self_esteem_energetic,Rate how true of you the following statements are: - I have an energetic personality.,Canadian Social Connection Survey,3,163 (13.7)
self_esteem_energetic,Rate how true of you the following statements are: - I have an energetic personality.,Canadian Social Connection Survey,4,279 (23.4)
self_esteem_energetic,Rate how true of you the following statements are: - I have an energetic personality.,Canadian Social Connection Survey,5,294 (24.6)
self_esteem_energetic,Rate how true of you the following statements are: - I have an energetic personality.,Canadian Social Connection Survey,6,174 (14.6)
self_esteem_proud,Rate how true of you the following statements are: - I am proud of my accomplishments.,Canadian Social Connection Survey,(1) Not very true of me,32 (2.7)
self_esteem_proud,Rate how true of you the following statements are: - I am proud of my accomplishments.,Canadian Social Connection Survey,(7) Very true of me,236 (19.8)
self_esteem_proud,Rate how true of you the following statements are: - I am proud of my accomplishments.,Canadian Social Connection Survey,2,46 (3.9)
self_esteem_proud,Rate how true of you the following statements are: - I am proud of my accomplishments.,Canadian Social Connection Survey,3,116 (9.7)
self_esteem_proud,Rate how true of you the following statements are: - I am proud of my accomplishments.,Canadian Social Connection Survey,4,289 (24.2)
self_esteem_proud,Rate how true of you the following statements are: - I am proud of my accomplishments.,Canadian Social Connection Survey,5,259 (21.7)
self_esteem_proud,Rate how true of you the following statements are: - I am proud of my accomplishments.,Canadian Social Connection Survey,6,215 (18.0)
attachment_secure_confident,Please respond to the following items using the scale provided - I feel confident that other people will be there for me when I need them,Canadian Social Connection Survey,Agree,335 (27.8)
attachment_secure_confident,Please respond to the following items using the scale provided - I feel confident that other people will be there for me when I need them,Canadian Social Connection Survey,Disagree,106 (8.8)
attachment_secure_confident,Please respond to the following items using the scale provided - I feel confident that other people will be there for me when I need them,Canadian Social Connection Survey,Somewhat agree,331 (27.5)
attachment_secure_confident,Please respond to the following items using the scale provided - I feel confident that other people will be there for me when I need them,Canadian Social Connection Survey,Somewhat disagree,211 (17.5)
attachment_secure_confident,Please respond to the following items using the scale provided - I feel confident that other people will be there for me when I need them,Canadian Social Connection Survey,Totally Agree,144 (12.0)
attachment_secure_confident,Please respond to the following items using the scale provided - I feel confident that other people will be there for me when I need them,Canadian Social Connection Survey,Totally disagree,78 (6.5)
attachment_secure_close,Please respond to the following items using the scale provided - I find it relatively easy to get close to other people,Canadian Social Connection Survey,Agree,292 (24.3)
attachment_secure_close,Please respond to the following items using the scale provided - I find it relatively easy to get close to other people,Canadian Social Connection Survey,Disagree,147 (12.2)
attachment_secure_close,Please respond to the following items using the scale provided - I find it relatively easy to get close to other people,Canadian Social Connection Survey,Somewhat agree,369 (30.7)
attachment_secure_close,Please respond to the following items using the scale provided - I find it relatively easy to get close to other people,Canadian Social Connection Survey,Somewhat disagree,219 (18.2)
attachment_secure_close,Please respond to the following items using the scale provided - I find it relatively easy to get close to other people,Canadian Social Connection Survey,Totally Agree,113 (9.4)
attachment_secure_close,Please respond to the following items using the scale provided - I find it relatively easy to get close to other people,Canadian Social Connection Survey,Totally disagree,63 (5.2)
attachment_secure_relating,Please respond to the following items using the scale provided - I feel confident about relating to others,Canadian Social Connection Survey,Agree,339 (28.2)
attachment_secure_relating,Please respond to the following items using the scale provided - I feel confident about relating to others,Canadian Social Connection Survey,Disagree,117 (9.7)
attachment_secure_relating,Please respond to the following items using the scale provided - I feel confident about relating to others,Canadian Social Connection Survey,Somewhat agree,347 (28.8)
attachment_secure_relating,Please respond to the following items using the scale provided - I feel confident about relating to others,Canadian Social Connection Survey,Somewhat disagree,219 (18.2)
attachment_secure_relating,Please respond to the following items using the scale provided - I feel confident about relating to others,Canadian Social Connection Survey,Totally Agree,135 (11.2)
attachment_secure_relating,Please respond to the following items using the scale provided - I feel confident about relating to others,Canadian Social Connection Survey,Totally disagree,46 (3.8)
attachment_secure_respect,Please respond to the following items using the scale provided - I am confident that other people will like and respect me,Canadian Social Connection Survey,Agree,335 (27.9)
attachment_secure_respect,Please respond to the following items using the scale provided - I am confident that other people will like and respect me,Canadian Social Connection Survey,Disagree,88 (7.3)
attachment_secure_respect,Please respond to the following items using the scale provided - I am confident that other people will like and respect me,Canadian Social Connection Survey,Somewhat agree,351 (29.2)
attachment_secure_respect,Please respond to the following items using the scale provided - I am confident that other people will like and respect me,Canadian Social Connection Survey,Somewhat disagree,234 (19.5)
attachment_secure_respect,Please respond to the following items using the scale provided - I am confident that other people will like and respect me,Canadian Social Connection Survey,Totally Agree,138 (11.5)
attachment_secure_respect,Please respond to the following items using the scale provided - I am confident that other people will like and respect me,Canadian Social Connection Survey,Totally disagree,55 (4.6)
attachment_anxious_reluctant,Please respond to the following items using the scale provided - I find that others are reluctant to get as close as I would like,Canadian Social Connection Survey,Agree,162 (13.5)
attachment_anxious_reluctant,Please respond to the following items using the scale provided - I find that others are reluctant to get as close as I would like,Canadian Social Connection Survey,Disagree,243 (20.2)
attachment_anxious_reluctant,Please respond to the following items using the scale provided - I find that others are reluctant to get as close as I would like,Canadian Social Connection Survey,Somewhat agree,352 (29.3)
attachment_anxious_reluctant,Please respond to the following items using the scale provided - I find that others are reluctant to get as close as I would like,Canadian Social Connection Survey,Somewhat disagree,309 (25.7)
attachment_anxious_reluctant,Please respond to the following items using the scale provided - I find that others are reluctant to get as close as I would like,Canadian Social Connection Survey,Totally Agree,45 (3.7)
attachment_anxious_reluctant,Please respond to the following items using the scale provided - I find that others are reluctant to get as close as I would like,Canadian Social Connection Survey,Totally disagree,92 (7.6)
attachment_anxious_care,Please respond to the following items using the scale provided - I worry that others won t care about me as much as I care about them,Canadian Social Connection Survey,Agree,190 (15.8)
attachment_anxious_care,Please respond to the following items using the scale provided - I worry that others won t care about me as much as I care about them,Canadian Social Connection Survey,Disagree,219 (18.2)
attachment_anxious_care,Please respond to the following items using the scale provided - I worry that others won t care about me as much as I care about them,Canadian Social Connection Survey,Somewhat agree,348 (28.9)
attachment_anxious_care,Please respond to the following items using the scale provided - I worry that others won t care about me as much as I care about them,Canadian Social Connection Survey,Somewhat disagree,244 (20.3)
attachment_anxious_care,Please respond to the following items using the scale provided - I worry that others won t care about me as much as I care about them,Canadian Social Connection Survey,Totally Agree,79 (6.6)
attachment_anxious_care,Please respond to the following items using the scale provided - I worry that others won t care about me as much as I care about them,Canadian Social Connection Survey,Totally disagree,123 (10.2)
attachment_anxious_relationships,Please respond to the following items using the scale provided - I worry a lot about my relationships,Canadian Social Connection Survey,Agree,182 (15.2)
attachment_anxious_relationships,Please respond to the following items using the scale provided - I worry a lot about my relationships,Canadian Social Connection Survey,Disagree,214 (17.8)
attachment_anxious_relationships,Please respond to the following items using the scale provided - I worry a lot about my relationships,Canadian Social Connection Survey,Somewhat agree,332 (27.7)
attachment_anxious_relationships,Please respond to the following items using the scale provided - I worry a lot about my relationships,Canadian Social Connection Survey,Somewhat disagree,270 (22.5)
attachment_anxious_relationships,Please respond to the following items using the scale provided - I worry a lot about my relationships,Canadian Social Connection Survey,Totally Agree,67 (5.6)
attachment_anxious_relationships,Please respond to the following items using the scale provided - I worry a lot about my relationships,Canadian Social Connection Survey,Totally disagree,135 (11.2)
attachment_anxious_left_out,Please respond to the following items using the scale provided - I often feel left out or alone,Canadian Social Connection Survey,Agree,191 (15.9)
attachment_anxious_left_out,Please respond to the following items using the scale provided - I often feel left out or alone,Canadian Social Connection Survey,Disagree,231 (19.2)
attachment_anxious_left_out,Please respond to the following items using the scale provided - I often feel left out or alone,Canadian Social Connection Survey,Somewhat agree,314 (26.1)
attachment_anxious_left_out,Please respond to the following items using the scale provided - I often feel left out or alone,Canadian Social Connection Survey,Somewhat disagree,242 (20.1)
attachment_anxious_left_out,Please respond to the following items using the scale provided - I often feel left out or alone,Canadian Social Connection Survey,Totally Agree,83 (6.9)
attachment_anxious_left_out,Please respond to the following items using the scale provided - I often feel left out or alone,Canadian Social Connection Survey,Totally disagree,141 (11.7)
attachment_avoidant_keep_to_myself,Please respond to the following items using the scale provided - I prefer to keep to myself,Canadian Social Connection Survey,Agree,229 (19.1)
attachment_avoidant_keep_to_myself,Please respond to the following items using the scale provided - I prefer to keep to myself,Canadian Social Connection Survey,Disagree,160 (13.3)
attachment_avoidant_keep_to_myself,Please respond to the following items using the scale provided - I prefer to keep to myself,Canadian Social Connection Survey,Somewhat agree,412 (34.3)
attachment_avoidant_keep_to_myself,Please respond to the following items using the scale provided - I prefer to keep to myself,Canadian Social Connection Survey,Somewhat disagree,237 (19.8)
attachment_avoidant_keep_to_myself,Please respond to the following items using the scale provided - I prefer to keep to myself,Canadian Social Connection Survey,Totally Agree,72 (6.0)
attachment_avoidant_keep_to_myself,Please respond to the following items using the scale provided - I prefer to keep to myself,Canadian Social Connection Survey,Totally disagree,90 (7.5)
attachment_avoidant_hard_to_trust,Please respond to the following items using the scale provided - I find it hard to trust other people,Canadian Social Connection Survey,Agree,195 (16.2)
attachment_avoidant_hard_to_trust,Please respond to the following items using the scale provided - I find it hard to trust other people,Canadian Social Connection Survey,Disagree,217 (18.1)
attachment_avoidant_hard_to_trust,Please respond to the following items using the scale provided - I find it hard to trust other people,Canadian Social Connection Survey,Somewhat agree,353 (29.4)
attachment_avoidant_hard_to_trust,Please respond to the following items using the scale provided - I find it hard to trust other people,Canadian Social Connection Survey,Somewhat disagree,258 (21.5)
attachment_avoidant_hard_to_trust,Please respond to the following items using the scale provided - I find it hard to trust other people,Canadian Social Connection Survey,Totally Agree,77 (6.4)
attachment_avoidant_hard_to_trust,Please respond to the following items using the scale provided - I find it hard to trust other people,Canadian Social Connection Survey,Totally disagree,100 (8.3)
attachment_avoidant_mixed_feelings,Please respond to the following items using the scale provided - I have mixed feelings about being close to others,Canadian Social Connection Survey,Agree,192 (16.0)
attachment_avoidant_mixed_feelings,Please respond to the following items using the scale provided - I have mixed feelings about being close to others,Canadian Social Connection Survey,Disagree,191 (15.9)
attachment_avoidant_mixed_feelings,Please respond to the following items using the scale provided - I have mixed feelings about being close to others,Canadian Social Connection Survey,Somewhat agree,406 (33.8)
attachment_avoidant_mixed_feelings,Please respond to the following items using the scale provided - I have mixed feelings about being close to others,Canadian Social Connection Survey,Somewhat disagree,243 (20.2)
attachment_avoidant_mixed_feelings,Please respond to the following items using the scale provided - I have mixed feelings about being close to others,Canadian Social Connection Survey,Totally Agree,72 (6.0)
attachment_avoidant_mixed_feelings,Please respond to the following items using the scale provided - I have mixed feelings about being close to others,Canadian Social Connection Survey,Totally disagree,97 (8.1)
attachment_avoidant_feel_uneasy,"Please respond to the following items using the scale provided - While I want to get close to others, I feel uneasy about it",Canadian Social Connection Survey,Agree,195 (16.2)
attachment_avoidant_feel_uneasy,"Please respond to the following items using the scale provided - While I want to get close to others, I feel uneasy about it",Canadian Social Connection Survey,Disagree,206 (17.2)
attachment_avoidant_feel_uneasy,"Please respond to the following items using the scale provided - While I want to get close to others, I feel uneasy about it",Canadian Social Connection Survey,Somewhat agree,321 (26.7)
attachment_avoidant_feel_uneasy,"Please respond to the following items using the scale provided - While I want to get close to others, I feel uneasy about it",Canadian Social Connection Survey,Somewhat disagree,268 (22.3)
attachment_avoidant_feel_uneasy,"Please respond to the following items using the scale provided - While I want to get close to others, I feel uneasy about it",Canadian Social Connection Survey,Totally Agree,69 (5.7)
attachment_avoidant_feel_uneasy,"Please respond to the following items using the scale provided - While I want to get close to others, I feel uneasy about it",Canadian Social Connection Survey,Totally disagree,142 (11.8)
adult_proud,"Growing up, how often did you have an adult who -  showed they were proud of me.",Canadian Social Connection Survey,A little of the time,206 (17.1)
adult_proud,"Growing up, how often did you have an adult who -  showed they were proud of me.",Canadian Social Connection Survey,All of the time,100 (8.3)
adult_proud,"Growing up, how often did you have an adult who -  showed they were proud of me.",Canadian Social Connection Survey,Most of the time,324 (26.8)
adult_proud,"Growing up, how often did you have an adult who -  showed they were proud of me.",Canadian Social Connection Survey,None of the time,89 (7.4)
adult_proud,"Growing up, how often did you have an adult who -  showed they were proud of me.",Canadian Social Connection Survey,Some of the time,488 (40.4)
adult_interest,"Growing up, how often did you have an adult who -  took an interest in my activities.",Canadian Social Connection Survey,A little of the time,265 (22.0)
adult_interest,"Growing up, how often did you have an adult who -  took an interest in my activities.",Canadian Social Connection Survey,All of the time,119 (9.9)
adult_interest,"Growing up, how often did you have an adult who -  took an interest in my activities.",Canadian Social Connection Survey,Most of the time,340 (28.3)
adult_interest,"Growing up, how often did you have an adult who -  took an interest in my activities.",Canadian Social Connection Survey,None of the time,63 (5.2)
adult_interest,"Growing up, how often did you have an adult who -  took an interest in my activities.",Canadian Social Connection Survey,Some of the time,416 (34.6)
adult_listened,"Growing up, how often did you have an adult who -  listened to you when you spoke.",Canadian Social Connection Survey,A little of the time,240 (20.0)
adult_listened,"Growing up, how often did you have an adult who -  listened to you when you spoke.",Canadian Social Connection Survey,All of the time,111 (9.2)
adult_listened,"Growing up, how often did you have an adult who -  listened to you when you spoke.",Canadian Social Connection Survey,Most of the time,364 (30.3)
adult_listened,"Growing up, how often did you have an adult who -  listened to you when you spoke.",Canadian Social Connection Survey,None of the time,60 (5.0)
adult_listened,"Growing up, how often did you have an adult who -  listened to you when you spoke.",Canadian Social Connection Survey,Some of the time,428 (35.6)
adult_there,"Growing up, how often did you have an adult who -  was there when you needed someone.",Canadian Social Connection Survey,A little of the time,223 (18.6)
adult_there,"Growing up, how often did you have an adult who -  was there when you needed someone.",Canadian Social Connection Survey,All of the time,143 (11.9)
adult_there,"Growing up, how often did you have an adult who -  was there when you needed someone.",Canadian Social Connection Survey,Most of the time,353 (29.4)
adult_there,"Growing up, how often did you have an adult who -  was there when you needed someone.",Canadian Social Connection Survey,None of the time,64 (5.3)
adult_there,"Growing up, how often did you have an adult who -  was there when you needed someone.",Canadian Social Connection Survey,Some of the time,418 (34.8)
adult_spoke,"Growing up, how often did you have an adult who -  spoke with you about things that really mattered.",Canadian Social Connection Survey,A little of the time,205 (17.0)
adult_spoke,"Growing up, how often did you have an adult who -  spoke with you about things that really mattered.",Canadian Social Connection Survey,All of the time,97 (8.0)
adult_spoke,"Growing up, how often did you have an adult who -  spoke with you about things that really mattered.",Canadian Social Connection Survey,Most of the time,337 (27.9)
adult_spoke,"Growing up, how often did you have an adult who -  spoke with you about things that really mattered.",Canadian Social Connection Survey,None of the time,87 (7.2)
adult_spoke,"Growing up, how often did you have an adult who -  spoke with you about things that really mattered.",Canadian Social Connection Survey,Some of the time,481 (39.9)
adult_share,"Growing up, how often did you have an adult who -  you could share your thoughts and feelings with.",Canadian Social Connection Survey,A little of the time,273 (22.7)
adult_share,"Growing up, how often did you have an adult who -  you could share your thoughts and feelings with.",Canadian Social Connection Survey,All of the time,112 (9.3)
adult_share,"Growing up, how often did you have an adult who -  you could share your thoughts and feelings with.",Canadian Social Connection Survey,Most of the time,319 (26.5)
adult_share,"Growing up, how often did you have an adult who -  you could share your thoughts and feelings with.",Canadian Social Connection Survey,None of the time,96 (8.0)
adult_share,"Growing up, how often did you have an adult who -  you could share your thoughts and feelings with.",Canadian Social Connection Survey,Some of the time,405 (33.6)
adult_help,"Growing up, how often did you have an adult who -  you could go to for help with a problem, even if you knew they d be disappointed.",Canadian Social Connection Survey,A little of the time,251 (20.9)
adult_help,"Growing up, how often did you have an adult who -  you could go to for help with a problem, even if you knew they d be disappointed.",Canadian Social Connection Survey,All of the time,129 (10.7)
adult_help,"Growing up, how often did you have an adult who -  you could go to for help with a problem, even if you knew they d be disappointed.",Canadian Social Connection Survey,Most of the time,328 (27.3)
adult_help,"Growing up, how often did you have an adult who -  you could go to for help with a problem, even if you knew they d be disappointed.",Canadian Social Connection Survey,None of the time,107 (8.9)
adult_help,"Growing up, how often did you have an adult who -  you could go to for help with a problem, even if you knew they d be disappointed.",Canadian Social Connection Survey,Some of the time,387 (32.2)
friends_elementary,How many close friends did you have in ? -  Elementary School,Canadian Social Connection Survey,1 - 2 Friends,462 (38.6)
friends_elementary,How many close friends did you have in ? -  Elementary School,Canadian Social Connection Survey,3 - 4 friends,378 (31.6)
friends_elementary,How many close friends did you have in ? -  Elementary School,Canadian Social Connection Survey,5 or more friends,257 (21.5)
friends_elementary,How many close friends did you have in ? -  Elementary School,Canadian Social Connection Survey,None (0 friends),101 (8.4)
friends_junior_high,How many close friends did you have in ? -  Middle School or Junior High?,Canadian Social Connection Survey,1 - 2 Friends,445 (37.1)
friends_junior_high,How many close friends did you have in ? -  Middle School or Junior High?,Canadian Social Connection Survey,3 - 4 friends,456 (38.0)
friends_junior_high,How many close friends did you have in ? -  Middle School or Junior High?,Canadian Social Connection Survey,5 or more friends,230 (19.2)
friends_junior_high,How many close friends did you have in ? -  Middle School or Junior High?,Canadian Social Connection Survey,None (0 friends),70 (5.8)
friends_high_school,How many close friends did you have in ? -  High School,Canadian Social Connection Survey,1 - 2 Friends,398 (33.1)
friends_high_school,How many close friends did you have in ? -  High School,Canadian Social Connection Survey,3 - 4 friends,415 (34.5)
friends_high_school,How many close friends did you have in ? -  High School,Canadian Social Connection Survey,5 or more friends,322 (26.8)
friends_high_school,How many close friends did you have in ? -  High School,Canadian Social Connection Survey,None (0 friends),67 (5.6)
provider_last_visit,When was the last time you visited with a healthcare provider?,Canadian Social Connection Survey,4-6 months,397 (33.2)
provider_last_visit,When was the last time you visited with a healthcare provider?,Canadian Social Connection Survey,7-12 months ago,146 (12.2)
provider_last_visit,When was the last time you visited with a healthcare provider?,Canadian Social Connection Survey,More than 1 year ago,163 (13.6)
provider_last_visit,When was the last time you visited with a healthcare provider?,Canadian Social Connection Survey,Within the last 3 months,491 (41.0)
primary_healthcare_provider,"Do you have a primary healthcare provider, such as a family doctor, nurse practitioner, or community health centre where you would normally go to for care?",Canadian Social Connection Survey,No,181 (15.1)
primary_healthcare_provider,"Do you have a primary healthcare provider, such as a family doctor, nurse practitioner, or community health centre where you would normally go to for care?",Canadian Social Connection Survey,Yes,1017 (84.9)
provider_weight,"Last time you visited a healthcare provider, did they: - Measure your weight",Canadian Social Connection Survey,No,435 (36.2)
provider_weight,"Last time you visited a healthcare provider, did they: - Measure your weight",Canadian Social Connection Survey,Unsure,30 (2.5)
provider_weight,"Last time you visited a healthcare provider, did they: - Measure your weight",Canadian Social Connection Survey,Yes,735 (61.3)
provider_height,"Last time you visited a healthcare provider, did they: - Measure your height",Canadian Social Connection Survey,No,477 (40.2)
provider_height,"Last time you visited a healthcare provider, did they: - Measure your height",Canadian Social Connection Survey,Unsure,41 (3.5)
provider_height,"Last time you visited a healthcare provider, did they: - Measure your height",Canadian Social Connection Survey,Yes,669 (56.4)
provider_blood.pressure,"Last time you visited a healthcare provider, did they: - Measure your blood pressure",Canadian Social Connection Survey,No,297 (24.8)
provider_blood.pressure,"Last time you visited a healthcare provider, did they: - Measure your blood pressure",Canadian Social Connection Survey,Unsure,34 (2.8)
provider_blood.pressure,"Last time you visited a healthcare provider, did they: - Measure your blood pressure",Canadian Social Connection Survey,Yes,866 (72.3)
provider_heart,"Last time you visited a healthcare provider, did they: - Listen to your heart",Canadian Social Connection Survey,No,410 (34.3)
provider_heart,"Last time you visited a healthcare provider, did they: - Listen to your heart",Canadian Social Connection Survey,Unsure,65 (5.4)
provider_heart,"Last time you visited a healthcare provider, did they: - Listen to your heart",Canadian Social Connection Survey,Yes,719 (60.2)
provider_substance_use,"Last time you visited a healthcare provider, did they: - Ask you about using alcohol, tobacco, or other drugs",Canadian Social Connection Survey,No,412 (34.4)
provider_substance_use,"Last time you visited a healthcare provider, did they: - Ask you about using alcohol, tobacco, or other drugs",Canadian Social Connection Survey,Unsure,55 (4.6)
provider_substance_use,"Last time you visited a healthcare provider, did they: - Ask you about using alcohol, tobacco, or other drugs",Canadian Social Connection Survey,Yes,729 (61.0)
provider_diet,"Last time you visited a healthcare provider, did they: - Ask you about your diet",Canadian Social Connection Survey,No,440 (37.2)
provider_diet,"Last time you visited a healthcare provider, did they: - Ask you about your diet",Canadian Social Connection Survey,Unsure,45 (3.8)
provider_diet,"Last time you visited a healthcare provider, did they: - Ask you about your diet",Canadian Social Connection Survey,Yes,698 (59.0)
provider_physical.activity,"Last time you visited a healthcare provider, did they: - Ask you about physical activity",Canadian Social Connection Survey,No,417 (34.9)
provider_physical.activity,"Last time you visited a healthcare provider, did they: - Ask you about physical activity",Canadian Social Connection Survey,Unsure,43 (3.6)
